title,site,url,salary,salary_min,salary_max,currency,city,responsibility,requirement,date_publication
Разнорабочий на склад саженцев,https://hh.ru/,https://spb.hh.ru/vacancy/52728270?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,110000,170000,KZT,,"Срочно требуются работники на склад для фасовки и упаковки растений (саженцев плодово-ягодных культур, роз, винограда), а также комплектации и...",Исполнительность и ответственность. - Умение работать в команде. - Готовность работать на результат.,
Работник на производстве (разнорабочий),https://hh.ru/,https://spb.hh.ru/vacancy/52607511?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,1000,1300,EUR,,Оказываем помощь в получении визы!,"Знание польского языка не обязательно!!!!. За дополнительной информацией обращайтесь по телефону (Viber, WhatsApp, Telegram).",
Работник на производстве (разноробочий),https://hh.ru/,https://spb.hh.ru/vacancy/52607509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,1000,1300,EUR,,Оказываем помощь в получении визы!,"Знание польского языка не обязательно!!!!. За дополнительной информацией обращайтесь по телефону (Viber, WhatsApp, Telegram).",
Работник на производстве (разноробочий),https://hh.ru/,https://spb.hh.ru/vacancy/52607508?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,1000,1300,EUR,,Оказываем помощь в получении визы!,Знание польского языка не обязательно!!!!.,
Работник на производстве (разноробочий),https://hh.ru/,https://spb.hh.ru/vacancy/52607510?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,1000,1300,EUR,,Оказываем помощь в получении визы!,"Знание польского языка не обязательно!!!!. За дополнительной информацией обращайтесь по телефону (Viber, WhatsApp, Telegram).",
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52036126?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,70000,0,руб.,,"Организация занимается проектированием, производством, монтажом и возведением, отделкой деревянных домов, а также их продажей. Обязанности: Выполнение производственного задания.",Не указаны,
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52033584?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,70000,0,руб.,,"Организация занимается проектированием, производством, монтажом и возведением, отделкой деревянных домов, а также их продажей. Обязанности: Выполнение производственного задания.",Не указаны,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52821026?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,60000,0,руб.,,Не указаны,"Выполнение строительно-монтажных работ, не требующих специальных навыков и соответствующего образования. Требования: Умение работать с инструментом, электроинструментом (дрель, болгарка, шуруповерт...",
Разнорабочий на производство,https://hh.ru/,https://spb.hh.ru/vacancy/52285432?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,30000,30000,руб.,,Не указаны,Не указаны,
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52328551?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,60000,0,руб.,,Выполнение задач производителя работ. - Выполнение вспомогательных работ. - Погрузо-разгрузочные работы.,Возможность самостоятельно добираться к месту работы.,
